Building,Room,Printer name
Activities Building,100,SE_UPRN_AK100_MFP1
Crestview Hall,23,SE_UPRN_CV023_MFP1
Crestview Hall,108,SE_UPRN_CV108_MFP1
Crestview Hall,299A,SE_UPRN_CV299A_MFP1
Forest Lodge,103,SE_UPRN_FL103_MFP1
Grove Lodge,103,SE_UPRN_GL103_MFP1
Hausfeldt Building,199,SE_UPRN_HB199_MFP1
Hillside Hall,19,SE_UPRN_HH0019_MFP1
Hillside Hall,9,SE_UPRN_HH009_MFP1
Hillside Hall,199,SE_UPRN_HH199_MFP1
Hillside Hall,211,SE_UPRN_HH211_MPF1
Hillside Hall,221,SE_UPRN_HH221_MFP1
Jeffersonville Graduate Center,400,SE_UPRN_GC400_MFP1
Knobview Hall,14,SE_UPRN_KV014_MFP1
Knobview Hall,110E,SE_UPRN_KV110E_MFP1
Knobview Hall,200,SE_UPRN_KV200_MFP1
Knobview Hall,235,SE_UPRN_KV235_MFP1
Knobview Hall,240,SE_UPRN_KV240_MFP1
Library IUSE,112,SE_UPRN_LB112_MFP1
Library IUSE,200B,SE_UPRN_LB200B_MFP1
Library IUSE,200F,SE_UPRN_LB200F_MFP1
Library IUSE,300A,SE_UPRN_LB300A_MFP1
Life Science,115,SE_UPRN_LF115_MFP1
Life Science,165,SE_UPRN_LF165_MFP1
Life Science,252,SE_UPRN_LF252_MFP1
Life Science,276,SE_UPRN_LF276_MFP1
Life Science,299,SE_UPRN_LF299_MFP1
Life Science,330,SE_UPRN_LF330_MFP1
Life Science,352,SE_UPRN_LF352_MFP1
Meadow Lodge,101,SE_UPRN_ML101_MFP1
Ogle Cultural and Community Center,85,SE_UPRN_OG085_MFP1
Ogle Cultural and Community Center,145,SE_UPRN_OG145_MFP1
Orchard Lodge,103,SE_UPRN_OL103_MFP1
Physical Science,15,SE_UPRN_PS015_MFP1
Physical Science,199A,SE_UPRN_PS199A_MFP1
Physical Science,299C,SE_UPRN_PS299C_MFP1
Service/Physical Plant,101,SE_UPRN_SV101_MFP1
University Center North,027B,SE_UPRN_UC027B_MFP1
University Center North,198A,SE_UPRN_UC198A_MFP1
University Center South,010A,SE_UPRN_US010A_MFP1
University Center South,099A,SE_UPRN_US099A_MFP1
University Center South,100,SE_UPRN_US100_MFP1
University Center South,102B,SE_UPRN_US102B_MFP1
University Center South,103D,SE_UPRN_US103D_MFP1
University Center South,161,SE_UPRN_US161_MFP1
University Center South,200,SE_UPRN_US200_MFP1
University Center South,244F,SE_UPRN_US244F_MFP1
Woodland Lodge,103,SE_UPRN_WL103_MFP1